"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.552399833E0,5.619314575E0,-6.967456802E0,-1.411998792E0,9.061781898E0
1.562369833E0,6.125738999E0,-5.358650379E0,-2.527984338E0,8.522353958E0
1.572340833E0,7.159833121E0,-1.663921401E0,-3.503289676E0,8.142781054E0
1.582310833E0,7.413934987E0,1.516527127E0,-2.407583736E0,7.941205573E0
1.592280833E0,6.044704776E0,2.714523089E-1,1.292329969E0,6.187265869E0
1.602251833E0,3.061938915E0,-1.846995384E0,4.842327204E0,6.019551031E0
1.612221833E0,6.278453654E-1,-6.408323237E-1,3.677370642E0,3.785222676E0
1.622191833E0,-1.014149269E0,1.075463757E-1,2.877239406E0,3.052633545E0
1.632161833E0,-9.857130897E-1,-1.314988222E0,2.836141666E0,3.277884054E0
1.642132833E0,-8.176471549E-1,-2.325850186E0,1.591305999E0,2.934345027E0
1.652102833E0,-1.243404561E-1,-2.081497968E0,1.230184591E0,2.421042847E0
1.662072833E0,1.681722956E0,-1.632285917E0,8.185859254E-1,2.482464972E0
1.672043833E0,3.448042844E0,-8.165677589E-1,6.933505529E-1,3.610611769E0
1.682013833E0,3.642471535E0,-5.626033026E-1,1.514331790E0,3.984635759E0
1.691983833E0,3.361975338E0,-1.684778711E-1,1.782327225E0,3.808930730E0
1.701954833E0,2.303059201E0,7.279637307E-1,2.020331706E0,3.148928878E0
1.711924208E0,1.736751688E0,3.828552157E-1,3.019633725E0,3.504436099E0
1.721894208E0,2.016188369E0,-1.847123730E-1,3.682971690E0,4.202786536E0
1.731865208E0,1.794951364E0,-1.053052549E0,2.653319113E0,3.372072417E0
1.741835208E0,1.251779528E0,-2.378740883E0,1.724879501E0,3.193833037E0
1.751805208E0,1.257205160E0,-2.371996997E0,1.507222745E0,3.078742433E0
1.761775208E0,2.233201346E0,-3.867137933E-1,7.262043035E-1,2.379938760E0
1.771746208E0,2.168089092E0,-1.026788318E0,6.279582167E-1,2.479765328E0
1.781716208E0,4.821491235E-1,-9.362009141E-1,2.685909154E0,2.884969309E0
1.791686208E0,-8.820489728E-1,1.400683553E0,4.640441558E0,4.926826835E0
1.801657208E0,-2.292048894E0,2.652980267E0,6.519246672E0,7.402186812E0
1.811627208E0,-4.062823775E0,2.191887844E0,7.765878312E0,9.034366348E0
1.821597208E0,-4.954821201E0,9.023361799E-1,6.390795624E0,8.136751958E0
1.831568208E0,-6.497759324E0,-1.237329304E-1,5.142738433E0,8.287577732E0
1.841538208E0,-5.791296390E0,-3.208297062E-1,2.851942012E0,6.463406132E0
1.851508208E0,-4.924533793E0,-1.110292697E-1,-3.098983365E-1,4.935524041E0
1.861479208E0,-2.282463554E0,1.536664646E0,-2.499574179E0,3.717371273E0
1.871449208E0,-5.459846971E0,-1.749430790E0,-2.878699456E0,6.415399254E0
1.881419208E0,-4.010730931E0,-2.156185915E0,-5.289055649E0,6.979198375E0
1.891389208E0,-6.266753960E0,-2.743222978E0,-3.923675830E0,7.886235447E0
1.901360208E0,-7.228881721E0,-4.890626374E0,-2.679117029E0,9.129765896E0
1.911330208E0,-7.961148418E0,-5.730497627E0,-3.958008927E0,1.057753855E1
1.921300208E0,-6.099742863E0,-3.348695142E0,-5.383888716E0,8.798117972E0
1.931271208E0,-3.316256836E0,-5.456054467E-1,-6.214786831E0,7.065325191E0
1.941241208E0,-1.579294064E0,2.315923076E0,-6.219823623E0,6.822307185E0
1.951211208E0,-2.255662841E-1,2.931903856E0,-4.090648043E0,5.037890609E0
1.961182208E0,7.057928431E-1,2.078610905E0,-2.076496552E0,3.021689057E0
1.971152208E0,6.504463157E-1,1.150287652E0,-7.747440872E-1,1.531819341E0
1.981122208E0,2.590600124E-1,5.596937281E-1,1.105527216E0,1.265922425E0
